gross_margin,i_category,i_class,lochierarchy,rank_within_parent
-0.4331652033071642,,,2,1
-0.4422821387283753,Jewelry,,1,1
-0.4407722793549773,Men,,1,2
-0.4378703075728192,Books,,1,3
-0.435732438424966,Music,,1,4
-0.4326919536021629,Shoes,,1,5
-0.4323162328354783,Sports,,1,6
-0.4315232388757392,Children,,1,7
-0.43092162936480594,Women,,1,8
-0.42626608726653187,Electronics,,1,9
-0.42240550260653614,Home,,1,10
-0.4183837012132422,,,1,11
-0.6088293457170393,,glassware,0,1
-0.5396838586666217,,womens,0,2
-0.5267473495747181,,swimwear,0,3
-0.48473107231926066,,dresses,0,4
-0.45687592997543136,,flatware,0,5
-0.4481027027433751,,pants,0,6
-0.4115350021413694,,scanners,0,7
-0.3897533016412478,,,0,8
-0.3890378928610988,,semi-precious,0,9
-0.38358630354387047,,camcorders,0,10
-0.37886384131030315,,archery,0,11
-0.2786839322982345,,sports-apparel,0,12
-0.6953226046483749,Books,,0,1
-0.46376310574728974,Books,reference,0,2
-0.45487825541450727,Books,sports,0,3
-0.45071158587533267,Books,history,0,4
-0.44441896026888106,Books,home repair,0,5
-0.44389268861593933,Books,entertainments,0,6
-0.4433401532594794,Books,cooking,0,7
-0.44138270947689784,Books,science,0,8
-0.4403740867357157,Books,romance,0,9
-0.43773355196618563,Books,mystery,0,10
-0.4365343260325311,Books,parenting,0,11
-0.4295418594117323,Books,travel,0,12
-0.42937930201481633,Books,business,0,13
-0.4264259153289788,Books,fiction,0,14
-0.42016895291219436,Books,arts,0,15
-0.41930974689955447,Books,self-help,0,16
-0.4160364169092454,Books,computers,0,17
-0.4529132849454063,Children,,0,1
-0.44057941536615647,Children,toddlers,0,2
-0.43294127954549466,Children,newborn,0,3
-0.42695233317387765,Children,school-uniforms,0,4
-0.42579054228939955,Children,infants,0,5
-0.4855235752296027,Electronics,memory,0,1
-0.4604842007192935,Electronics,monitors,0,2
-0.446190463216308,Electronics,automotive,0,3
-0.44296224946670043,Electronics,dvd/vcr players,0,4
-0.4327073466199892,Electronics,musical,0,5
-0.42600106936914417,Electronics,cameras,0,6
-0.4254200341307296,Electronics,wireless,0,7
-0.42235751883969724,Electronics,karoke,0,8
-0.4188940414721375,Electronics,camcorders,0,9
-0.4186878394167323,Electronics,audio,0,10
-0.4125603119117821,Electronics,televisions,0,11
-0.4101090411198239,Electronics,personal,0,12
-0.40988689526842265,Electronics,stereo,0,13
-0.4094500637435289,Electronics,scanners,0,14
-0.40823434275777976,Electronics,disk drives,0,15
-0.37521937744033984,Electronics,portable,0,16
-0.4436233135172459,Home,wallpaper,0,1
-0.44025527046920765,Home,furniture,0,2
-0.4385891832625786,Home,flatware,0,3
-0.4348401348206341,Home,decor,0,4
-0.4319233048260661,Home,rugs,0,5
-0.43039231322907734,Home,mattresses,0,6
-0.42845289084114363,Home,paint,0,7
-0.4256571856374256,Home,bedding,0,8
-0.42504862645740565,Home,accent,0,9
-0.42295269883335085,Home,tables,0,10
-0.4194554447557112,Home,bathroom,0,11
-0.418254601207646,Home,curtains/drapes,0,12
-0.4152368022674857,Home,blinds/shades,0,13
-0.41293300832599655,Home,glassware,0,14
-0.3997879732713479,Home,lighting,0,15
-0.37758158356862603,Home,kids,0,16
-0.3604915586778808,Home,,0,17
-0.5594059125862809,Jewelry,,0,1
-0.47298200181372757,Jewelry,birdal,0,2
-0.4655899362768761,Jewelry,consignment,0,3
-0.4595075839162246,Jewelry,custom,0,4
-0.4584565969316602,Jewelry,semi-precious,0,5
-0.45468767601478577,Jewelry,loose stones,0,6
-0.45355295639414844,Jewelry,jewelry boxes,0,7
-0.449396288946918,Jewelry,costume,0,8
-0.44533889379485925,Jewelry,bracelets,0,9
-0.4428235314217311,Jewelry,diamonds,0,10
-0.44274986763418045,Jewelry,earings,0,11
-0.4373066941848982,Jewelry,rings,0,12
-0.43662334578410583,Jewelry,gold,0,13
-0.4322602458026536,Jewelry,pendants,0,14
-0.4266880058665212,Jewelry,estate,0,15
-0.40283042664214946,Jewelry,mens watch,0,16
-0.4020098008176535,Jewelry,womens watch,0,17
-0.6175503240654167,Men,,0,1
-0.4448747140077644,Men,pants,0,2
-0.44453409380559505,Men,sports-apparel,0,3
-0.44311529904381364,Men,shirts,0,4
