i_manufact_id,sum_sales,avg_quarterly_sales
827,86.44,284.6175
827,349.77,284.6175
827,417.55,284.6175
360,131.29,370.025
360,198.02,370.025
360,266.37,370.025
360,884.42,370.025
812,257.48,378.6275
812,300.17,378.6275
812,310.62,378.6275
812,646.24,378.6275
247,197.83,381.115
247,289.54,381.115
247,478.79,381.115
247,558.30,381.115
134,225.26,391.3175
134,240.65,391.3175
134,449.77,391.3175
134,649.59,391.3175
554,79.27,402.7125
554,213.69,402.7125
554,293.41,402.7125
554,1024.48,402.7125
411,161.47,403.7325
411,254.01,403.7325
411,781.15,403.7325
147,181.75,407.7025
147,195.77,407.7025
147,514.21,407.7025
147,739.08,407.7025
384,243.55,418.4125
384,335.90,418.4125
384,539.46,418.4125
384,554.74,418.4125
272,198.52,422.9925
272,251.97,422.9925
272,533.33,422.9925
272,708.15,422.9925
621,274.67,424.125
621,290.96,424.125
621,326.67,424.125
621,804.20,424.125
619,193.92,428.6825
619,359.91,428.6825
619,689.55,428.6825
141,197.58,428.9925
141,321.08,428.9925
141,794.81,428.9925
440,83.69,431.78
440,246.92,431.78
440,632.40,431.78
440,764.11,431.78
70,145.64,432.4275
70,359.22,432.4275
70,529.47,432.4275
70,695.38,432.4275
159,120.70,432.8925
159,353.38,432.8925
159,511.45,432.8925
159,746.04,432.8925
507,230.77,433.1225
507,363.83,433.1225
507,698.57,433.1225
860,164.90,434.2675
860,380.73,434.2675
860,524.21,434.2675
860,667.23,434.2675
39,94.42,435.015
39,479.18,435.015
39,534.58,435.015
39,631.88,435.015
362,245.25,441.25
362,327.74,441.25
362,567.34,441.25
362,624.67,441.25
278,186.10,441.5425
278,274.39,441.5425
278,595.33,441.5425
278,710.35,441.5425
636,136.44,444.335
636,284.75,444.335
636,877.04,444.335
251,114.98,444.425
251,266.16,444.425
251,619.22,444.425
251,777.34,444.425
648,110.80,446.39
648,208.38,446.39
648,698.37,446.39
648,768.01,446.39
242,206.99,447.075
242,237.00,447.075
242,346.94,447.075
242,997.37,447.075
332,228.43,451.6175
332,373.65,451.6175
332,560.44,451.6175
332,643.95,451.6175
441,66.59,452.8125
441,281.62,452.8125
